DATE,EMPLOYED,RETIRED,TOTALPOP,,,,
201901,"154,964,134","47,437,401","258,239,486",,,,
201902,"156,167,471","46,787,919","258,392,053",,,,
201903,"156,440,796","47,368,590","258,536,749",,,,
201904,"156,709,705","47,570,960","258,692,861",,,,
201905,"157,152,136","47,420,299","258,861,239",,,,
201906,"157,828,120","47,844,859","259,037,219",,,,
201907,"158,385,004","47,549,188","259,224,846",,,,
201908,"157,816,126","48,010,548","259,431,969",,,,
201909,"158,478,198","47,971,189","259,637,671",,,,
201910,"159,066,729","48,282,673","259,844,865",,,,
201911,"158,944,759","48,077,761","260,020,033",,,,
201912,"158,503,644","48,099,342","260,181,233",,,,
202001,"156,993,732","48,200,765","259,501,527",,,,
202002,"158,017,403","48,013,143","259,628,285",,,,
202003,"155,167,192","48,715,534","259,758,172",,,,
202004,"133,325,808","48,994,347","259,896,347",,,,
202005,"137,461,048","49,817,265","260,046,776",,,,
202006,"142,811,070","50,192,292","260,204,296",,,,
202007,"144,492,191","50,581,014","260,372,681",,,,
202008,"147,224,148","50,398,462","260,558,199",,,,
202009,"147,795,839","50,044,324","260,742,490",,,,
202010,"150,433,481","50,326,607","260,924,927",,,,
202011,"150,203,484","50,271,846","261,084,749",,,,
202012,"149,612,900","50,360,904","261,229,649",,,,
202101,"148,382,937","50,542,565","260,851,144",,,,
202102,"149,522,059","50,468,574","260,918,364",,,,
202103,"150,492,839","50,573,703","261,003,021",,,,
202104,"151,159,727","50,900,482","261,102,596",,,,
202105,#N/A,#N/A,#N/A,,,,
202106,#N/A,#N/A,#N/A,,,,
202107,#N/A,#N/A,#N/A,,,,
202108,#N/A,#N/A,#N/A,,,,
202109,#N/A,#N/A,#N/A,,,,
202110,#N/A,#N/A,#N/A,,,,
202111,#N/A,#N/A,#N/A,,,,
202112,#N/A,#N/A,#N/A,,,,
